variant,n_layers,use_mlp,id_2_50_mean,id_2_50_std,mid_51_100_mean,mid_51_100_std,long_101_150_mean,long_101_150_std,train_em_mean,train_em_std,n_seeds
LN_fixed50,1,0,0.3695,0.0266,0.9809,0.0021,0.9999,0.0001,0.9056,0.0232,3
LN_fixed50,1,1,0.7454,0.0015,1.0000,0.0000,1.0000,0.0000,0.9997,0.0002,3
LN_fixed50,2,0,0.4293,0.0837,0.9688,0.0202,0.9551,0.0623,0.9217,0.0499,3
LN_fixed50,2,1,0.8120,0.0182,1.0000,0.0000,0.9953,0.0025,1.0000,0.0000,3
noLN_elemGate,1,0,0.0003,0.0003,0.0000,0.0000,0.0000,0.0000,0.0005,0.0007,3
noLN_elemGate,1,1,0.0003,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002,0.0003,3
noLN_elemGate,2,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3
noLN_elemGate,2,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3
noLN_headGate,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3
noLN_headGate,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3
noLN_headGate,2,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3
noLN_headGate,2,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3
noLN_rmsQkNorm,1,0,0.1707,0.2415,0.0361,0.0511,0.0002,0.0003,0.1686,0.2385,3
noLN_rmsQkNorm,1,1,0.0018,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3
noLN_rmsQkNorm,2,0,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3
noLN_rmsQkNorm,2,1,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3
