n_layers,use_mlp,length_mode,training_type,train_max_k,mean_gen_em,std_gen_em,n_runs
1,False,curriculum,dynamic,4,0.6791,0.0127,4
1,False,curriculum,dynamic,6,0.9986,0.0007,4
1,False,curriculum,dynamic,8,1.0000,0.0000,4
1,False,curriculum,dynamic,10,1.0000,0.0000,4
1,False,curriculum,dynamic,12,0.9981,0.0032,4
1,False,curriculum,dynamic,14,0.9898,0.0061,4
1,False,curriculum,dynamic,16,0.9873,0.0091,4
1,False,mix,dynamic,4,0.9017,0.0355,4
1,False,mix,dynamic,6,0.9717,0.0250,4
1,False,mix,dynamic,8,1.0000,0.0000,4
1,False,mix,dynamic,10,1.0000,0.0000,4
1,False,mix,dynamic,12,1.0000,0.0000,4
1,False,mix,dynamic,14,1.0000,0.0000,4
1,False,mix,dynamic,16,1.0000,0.0000,4
1,False,mix,fixed,4,0.9791,0.0244,4
1,False,mix,fixed,6,1.0000,0.0000,4
1,False,mix,fixed,8,1.0000,0.0000,4
1,False,mix,fixed,10,1.0000,0.0000,4
1,False,mix,fixed,12,1.0000,0.0000,4
1,False,mix,fixed,14,1.0000,0.0000,4
1,False,mix,fixed,16,0.9992,0.0003,4
1,True,curriculum,dynamic,4,0.0927,0.0137,3
1,True,curriculum,dynamic,6,0.7042,0.0278,3
1,True,curriculum,dynamic,8,0.9506,0.0628,4
1,True,curriculum,dynamic,10,0.9984,0.0027,4
1,True,curriculum,dynamic,12,1.0000,0.0000,4
1,True,curriculum,dynamic,14,1.0000,0.0000,4
1,True,curriculum,dynamic,16,1.0000,0.0000,4
1,True,mix,dynamic,4,0.4942,0.0275,3
1,True,mix,dynamic,6,0.9502,0.0060,3
1,True,mix,dynamic,8,0.9948,0.0017,4
1,True,mix,dynamic,10,0.9998,0.0003,4
1,True,mix,dynamic,12,0.9997,0.0005,4
1,True,mix,dynamic,14,1.0000,0.0000,4
1,True,mix,dynamic,16,1.0000,0.0000,4
1,True,mix,fixed,4,0.6217,0.0182,4
1,True,mix,fixed,6,0.9827,0.0046,4
1,True,mix,fixed,8,0.9997,0.0003,4
1,True,mix,fixed,10,1.0000,0.0000,4
1,True,mix,fixed,12,1.0000,0.0000,4
1,True,mix,fixed,14,1.0000,0.0000,4
1,True,mix,fixed,16,1.0000,0.0000,4
2,False,curriculum,dynamic,4,0.2223,0.0474,4
2,False,curriculum,dynamic,6,0.7755,0.0167,4
2,False,curriculum,dynamic,8,0.9712,0.0051,4
2,False,curriculum,dynamic,10,0.9927,0.0010,4
2,False,curriculum,dynamic,12,0.9986,0.0003,4
2,False,curriculum,dynamic,14,0.9995,0.0003,4
2,False,curriculum,dynamic,16,0.9997,0.0003,4
2,False,mix,dynamic,4,0.0203,0.0010,4
2,False,mix,dynamic,6,0.4052,0.0123,4
2,False,mix,dynamic,8,0.8155,0.0067,4
2,False,mix,dynamic,10,0.9594,0.0048,4
2,False,mix,dynamic,12,0.9914,0.0061,4
2,False,mix,dynamic,14,0.9994,0.0011,4
2,False,mix,dynamic,16,0.9997,0.0003,4
2,False,mix,fixed,4,0.0194,0.0023,4
2,False,mix,fixed,6,0.8453,0.0835,4
2,False,mix,fixed,8,0.9952,0.0010,4
2,False,mix,fixed,10,0.9994,0.0004,4
2,False,mix,fixed,12,0.9998,0.0003,4
2,False,mix,fixed,14,1.0000,0.0000,4
2,False,mix,fixed,16,1.0000,0.0000,4
2,True,curriculum,dynamic,4,0.0040,0.0021,3
2,True,curriculum,dynamic,6,0.3883,0.0427,3
2,True,curriculum,dynamic,8,0.7764,0.1005,4
2,True,curriculum,dynamic,10,0.9394,0.0515,4
2,True,curriculum,dynamic,12,0.9972,0.0028,4
2,True,curriculum,dynamic,14,0.9997,0.0005,4
2,True,curriculum,dynamic,16,0.9995,0.0008,4
2,True,mix,dynamic,4,0.0606,0.0150,3
2,True,mix,dynamic,6,0.7598,0.0410,3
2,True,mix,dynamic,8,0.9644,0.0132,4
2,True,mix,dynamic,10,0.9938,0.0051,4
2,True,mix,dynamic,12,0.9986,0.0014,4
2,True,mix,dynamic,14,0.9998,0.0003,4
2,True,mix,dynamic,16,0.9998,0.0003,4
2,True,mix,fixed,4,0.0070,0.0100,4
2,True,mix,fixed,6,0.2389,0.0277,4
2,True,mix,fixed,8,0.6444,0.0729,4
2,True,mix,fixed,10,0.9645,0.0141,4
2,True,mix,fixed,12,0.9939,0.0042,4
2,True,mix,fixed,14,0.9980,0.0010,4
2,True,mix,fixed,16,1.0000,0.0000,4
